disease_common_name,disease_sci_name,crop_genus,crop_specie
African Mole Cricket,Gryllotalpa africana,Abelmoschus,esculentus  
Aphid,Aphidoidea family,Abelmoschus,esculentus  
Boron Deficiency,Boron Deficiency,Abelmoschus,esculentus  
Common Red Spider Mite,Tetranychus urticae,Abelmoschus,esculentus  
Flea Beetle,Psylliodes,Abelmoschus,esculentus  
Magnesium Deficiency,Magnesium Deficiency,Abelmoschus,esculentus  
Manganese Deficiency,Manganese Deficiency,Abelmoschus,esculentus  
Nematode,Nematoda,Abelmoschus,esculentus  
Pesticide Burn,Pesticide Burn,Abelmoschus,esculentus  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Abelmoschus,esculentus  
Variegated Grasshopper,Zonocerus variegatus,Abelmoschus,esculentus  
Water Deficiency,Water Deficiency,Abelmoschus,esculentus  
Zinc Deficiency,Zinc Deficiency,Abelmoschus,esculentus  
African Mole Cricket,Gryllotalpa africana,Allium,cepa  
Aphid,Aphidoidea family,Allium,sativum  
Aphid,Aphidoidea family,Allium,cepa  
Boron Deficiency,Boron Deficiency,Allium,sativum  
Boron Deficiency,Boron Deficiency,Allium,cepa  
Botrytis Blight,Botrytis cinerea,Allium,cepa  
Botrytis Leaf Blight,Botryotinia squamosa,Allium,sativum  
Botrytis Leaf Blight,Botryotinia squamosa,Allium,cepa  
Cabbage Moth,Mamestra brassicae,Allium,sativum  
Cabbage Moth,Mamestra brassicae,Allium,cepa  
Calcium Deficiency,Calcium Deficiency,Allium,cepa  
Common Red Spider Mite,Tetranychus urticae,Allium,sativum  
Common Red Spider Mite,Tetranychus urticae,Allium,cepa  
Downy Mildew,Peronosporales,Allium,sativum  
Downy Mildew,Peronosporales,Allium,cepa  
Flea Beetle,Psylliodes,Allium,cepa  
Iron Deficiency,Iron Deficiency,Allium,sativum  
Iron Deficiency,Iron Deficiency,Allium,cepa  
Leek Rust,Puccinia porri,Allium,sativum  
Leek Rust,Puccinia porri,Allium,cepa  
Magnesium Deficiency,Magnesium Deficiency,Allium,sativum  
Magnesium Deficiency,Magnesium Deficiency,Allium,cepa  
Manganese Deficiency,Manganese Deficiency,Allium,sativum  
Manganese Deficiency,Manganese Deficiency,Allium,cepa  
Nematode,Nematoda,Allium,sativum  
Nematode,Nematoda,Allium,cepa  
Nitrogen Deficiency,Nitrogen Deficiency,Allium,sativum  
Nitrogen Deficiency,Nitrogen Deficiency,Allium,cepa  
Onion Leaf Miner,Phytomyza gymnostoma,Allium,sativum  
Onion Leaf Miner,Phytomyza gymnostoma,Allium,cepa  
Onion Maggots,Delia platura,Allium,sativum  
Onion Maggots,Delia platura,Allium,cepa  
Onion Yellow Dwarf Virus,OYDV,Allium,sativum  
Onion Yellow Dwarf Virus,OYDV,Allium,cepa  
Pesticide Burn,Pesticide Burn,Allium,sativum  
Pesticide Burn,Pesticide Burn,Allium,cepa  
Phosphorus Deficiency,Phosphorus Deficiency,Allium,sativum  
Phosphorus Deficiency,Phosphorus Deficiency,Allium,cepa  
Potassium Deficiency,Potassium Deficiency,Allium,cepa  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Allium,cepa  
Sclerotium Rot,Athelia rolfsii,Allium,cepa  
Slug,Class Gastropoda,Allium,sativum  
Slug,Class Gastropoda,Allium,cepa  
Thrips,Order Thysanoptera,Allium,sativum  
Thrips,Order Thysanoptera,Allium,cepa  
Variegated Grasshopper,Zonocerus variegatus,Allium,cepa  
Verticillium Wilt,Verticillium spp.,Allium,sativum  
Vole,Cricetidae,Allium,sativum  
Vole,Cricetidae,Allium,cepa  
Water Deficiency,Water Deficiency,Allium,cepa  
White Rot,Stromatinia cepivora,Allium,sativum  
White Rot,Stromatinia cepivora,Allium,cepa  
Zinc Deficiency,Zinc Deficiency,Allium,sativum  
Zinc Deficiency,Zinc Deficiency,Allium,cepa  
Alternaria Leaf Spot of Peanut,Alternaria spp.,Arachis,hypogaea  
Aphid,Aphidoidea family,Arachis,hypogaea  
Bean Leaf Webber,Hedylepta indicata,Arachis,hypogaea  
Black Cutworm,Agrotis ipsilon,Arachis,hypogaea  
Boron Deficiency,Boron Deficiency,Arachis,hypogaea  
Botrytis Blight,Botrytis cinerea,Arachis,hypogaea  
Bud Necrosis Disease,PBND,Arachis,hypogaea  
Calcium Deficiency in Peanut,Calcium Deficiency,Arachis,hypogaea  
Castor Semilooper,Ophiusa melicerta,Arachis,hypogaea  
Common Red Spider Mite,Tetranychus urticae,Arachis,hypogaea  
Fall Armyworm,Spodoptera frugiperda,Arachis,hypogaea  
Greenhouse Whitefly,Trialeurodes vaporariorum,Arachis,hypogaea  
Iron Deficiency in Peanut,Iron Deficiency,Arachis,hypogaea  
Jassids on Peanut,Empoasca kerri,Arachis,hypogaea  
Late and Early Leaf Spot,Mycosphaerella spp.,Arachis,hypogaea  
Leaf Miner Flies,Agromyzidae spp.,Arachis,hypogaea  
Lesser cornstalk borer,Elasmopalpus lignosellus,Arachis,hypogaea  
Magnesium Deficiency,Magnesium Deficiency,Arachis,hypogaea  
Manganese Deficiency,Manganese Deficiency,Arachis,hypogaea  
Pea Pod Borer,Etiella zinckenella,Arachis,hypogaea  
Peanut Rust,Puccinia arachidis,Arachis,hypogaea  
Pesticide Burn,Pesticide Burn,Arachis,hypogaea  
Phosphorus Deficiency in Peanut,Phosphorus Deficiency,Arachis,hypogaea  
Phyllosticta Leaf Spot,Phyllosticta arachidis-hypogaea,Arachis,hypogaea  
Potassium Deficiency,Potassium Deficiency,Arachis,hypogaea  
Red Hairy Caterpillar,Amsacta albistriga,Arachis,hypogaea  
Stem rot of Peanut,Athelia rolfsii,Arachis,hypogaea  
Thrips,Order Thysanoptera,Arachis,hypogaea  
Tobacco Caterpillar,Spodoptera litura,Arachis,hypogaea  
Velvetbean Caterpillar,Anticarsia gemmatalis,Arachis,hypogaea  
Water Deficiency,Water Deficiency,Arachis,hypogaea  
White Grub on Peanut,Holotrichia spp.,Arachis,hypogaea  
Zinc Deficiency in Peanut,Zinc Deficiency,Arachis,hypogaea  
Aphid,Aphidoidea family,Beta,vulgaris  
Bean Leaf Webber,Hedylepta indicata,Beta,vulgaris  
Boron Deficiency,Boron Deficiency,Beta,vulgaris  
Botrytis Blight,Botrytis cinerea,Beta,vulgaris  
Cabbage Moth,Mamestra brassicae,Beta,vulgaris  
Leaf Spot of Beet,Cercospora beticola,Beta,vulgaris  
Magnesium Deficiency,Magnesium Deficiency,Beta,vulgaris  
Manganese Deficiency,Manganese Deficiency,Beta,vulgaris  
Pesticide Burn,Pesticide Burn,Beta,vulgaris  
Ramularia Leaf Spot of Beet,Ramularia beticola,Beta,vulgaris  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Beta,vulgaris  
Zinc Deficiency,Zinc Deficiency,Beta,vulgaris  
Aphid,Aphidoidea family,Brassica,oleracea  
Aphid,Aphidoidea family,Brassica,napus  
Black Cutworm,Agrotis ipsilon,Brassica,oleracea  
Black Leg of Rapeseed,Plenodomus lingam,Brassica,napus  
Black Mold,Alternaria brassicae,Brassica,oleracea  
Black Mold,Alternaria brassicae,Brassica,napus  
Black Rot,Xanthomonas campestris pv. campestris,Brassica,oleracea  
Botrytis Blight,Botrytis cinerea,Brassica,oleracea  
Botrytis Blight,Botrytis cinerea,Brassica,napus  
Bright Line Brown Eye,Lacanobia oleracea,Brassica,oleracea  
Cabbage Moth,Mamestra brassicae,Brassica,oleracea  
Cabbage Whitefly,Aleyrodes proletella,Brassica,oleracea  
Calcium Deficiency,Calcium Deficiency,Brassica,oleracea  
Clubroot,Plasmodiophora brassicae,Brassica,oleracea  
Clubroot of Canola,Plasmodiophora brassicae,Brassica,napus  
Common Red Spider Mite,Tetranychus urticae,Brassica,oleracea  
Downy Mildew,Peronosporales,Brassica,oleracea  
Fall Armyworm,Spodoptera frugiperda,Brassica,oleracea  
Fertilizer or Pesticide Burn,Fertilizer Burn,Brassica,napus  
Flea Beetle,Psylliodes,Brassica,oleracea  
Fusarium Wilt,Fusarium oxysporum,Brassica,napus  
Green Peach Aphid,Myzus persicae,Brassica,oleracea  
Iron Deficiency,Iron Deficiency,Brassica,oleracea  
Leaf Miner Flies,Agromyzidae spp.,Brassica,oleracea  
Magnesium Deficiency,Magnesium Deficiency,Brassica,oleracea  
Magnesium Deficiency,Magnesium Deficiency,Brassica,napus  
Manganese Deficiency,Manganese Deficiency,Brassica,oleracea  
Manganese Deficiency,Manganese Deficiency,Brassica,napus  
Nematode,Nematoda,Brassica,oleracea  
Onion Maggots,Delia platura,Brassica,oleracea  
Pesticide Burn,Pesticide Burn,Brassica,oleracea  
Pesticide Burn,Pesticide Burn,Brassica,napus  
Powdery Mildew,Erysiphaceae,Brassica,oleracea  
Powdery Mildew,Erysiphaceae,Brassica,napus  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Brassica,oleracea  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Brassica,napus  
Sclerotium Rot,Athelia rolfsii,Brassica,oleracea  
Slug,Class Gastropoda,Brassica,oleracea  
Small and Large Cabbage White,Pieris,Brassica,oleracea  
Thrips,Order Thysanoptera,Brassica,oleracea  
Tobacco Caterpillar,Spodoptera litura,Brassica,oleracea  
Verticillium Wilt,Verticillium spp.,Brassica,oleracea  
Verticillium Wilt,Verticillium spp.,Brassica,napus  
Vole,Cricetidae,Brassica,oleracea  
Water Deficiency,Water Deficiency,Brassica,oleracea  
Zinc Deficiency,Zinc Deficiency,Brassica,oleracea  
Zinc Deficiency,Zinc Deficiency,Brassica,napus  
Abiotic Sunburn,Abiotic Sunburn,Capsicum,spp.  
African Mole Cricket,Gryllotalpa africana,Capsicum,spp.  
Anthracnose of Pepper,Glomerella cingulata,Capsicum,spp.  
Aphid,Aphidoidea family,Capsicum,spp.  
Bacterial Soft Rot of Pepper,Pectobacterium carotovorum subsp. carotovorum,Capsicum,spp.  
Bacterial Spot,Xanthomonas spp.,Capsicum,spp.  
Bacterial Wilt,Ralstonia solanacearum,Capsicum,spp.  
Black Cutworm,Agrotis ipsilon,Capsicum,spp.  
Blight of Pepper,Phytophthora capsici,Capsicum,spp.  
Blossom End Rot,blossom end rot,Capsicum,spp.  
Boron Deficiency,Boron Deficiency,Capsicum,spp.  
Botrytis Blight,Botrytis cinerea,Capsicum,spp.  
Bright Line Brown Eye,Lacanobia oleracea,Capsicum,spp.  
Broad Mite,Polyphagotarsonemus latus,Capsicum,spp.  
Calcium Deficiency,Calcium Deficiency,Capsicum,spp.  
Chilli Cercospora Leaf Spot,Cercospora capsici,Capsicum,spp.  
Chilli Damping-off,Pythium aphanidermatum,Capsicum,spp.  
Common Red Spider Mite,Tetranychus urticae,Capsicum,spp.  
Cotton Bollworm,Helicoverpa armigera,Capsicum,spp.  
Fall Armyworm,Spodoptera frugiperda,Capsicum,spp.  
Flea Beetle,Psylliodes,Capsicum,spp.  
Greenhouse Whitefly,Trialeurodes vaporariorum,Capsicum,spp.  
Iron Deficiency,Iron Deficiency,Capsicum,spp.  
Leaf Miner Flies,Agromyzidae spp.,Capsicum,spp.  
Magnesium Deficiency,Magnesium Deficiency,Capsicum,spp.  
Manganese Deficiency,Manganese Deficiency,Capsicum,spp.  
Mealybug,Pseudococcidae,Capsicum,spp.  
Mediterranean Fruit Fly,Ceratitis capitata,Capsicum,spp.  
Nematode,Nematoda,Capsicum,spp.  
Nitrogen Deficiency,Nitrogen Deficiency,Capsicum,spp.  
Pesticide Burn,Pesticide Burn,Capsicum,spp.  
Phosphorus Deficiency,Phosphorus Deficiency,Capsicum,spp.  
Potassium Deficiency,Potassium Deficiency,Capsicum,spp.  
Potato Y Virus,PVY,Capsicum,spp.  
Powdery Mildew,Erysiphaceae,Capsicum,spp.  
Root-Knot Nematode,Meloidogyne spp.,Capsicum,spp.  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Capsicum,spp.  
Sclerotium Rot,Athelia rolfsii,Capsicum,spp.  
Slug,Class Gastropoda,Capsicum,spp.  
Sooty Mold,"Capnodium, Fumago, Scorias spp",Capsicum,spp.  
Thrips,Order Thysanoptera,Capsicum,spp.  
Variegated Grasshopper,Zonocerus variegatus,Capsicum,spp.  
Verticillium Wilt,Verticillium spp.,Capsicum,spp.  
Vole,Cricetidae,Capsicum,spp.  
Water Deficiency,Water Deficiency,Capsicum,spp.  
Zinc Deficiency,Zinc Deficiency,Capsicum,spp.  
African Mole Cricket,Gryllotalpa africana,Carica,papaya  
Anthracnose of Papaya and Mango,Colletotrichum gloeosporioides,Carica,papaya  
Aphid,Aphidoidea family,Carica,papaya  
Banana Scale Insect,Aspidiotus destructor,Carica,papaya  
Black Spot Disease of Papaya,Asperisporium caricae,Carica,papaya  
Boron Deficiency,Boron Deficiency,Carica,papaya  
Damping-Off,Pythium aphanidermatum,Carica,papaya  
Green Citrus Aphid,Aphis spiraecola,Carica,papaya  
Iron Deficiency,Iron Deficiency,Carica,papaya  
Magnesium Deficiency,Magnesium Deficiency,Carica,papaya  
Manganese Deficiency,Manganese Deficiency,Carica,papaya  
Mealybug on Papaya,Paracoccus marginatus,Carica,papaya  
Mediterranean Fruit Fly,Ceratitis capitata,Carica,papaya  
Melon Fruit Fly,Zeugodacus cucurbitae,Carica,papaya  
Nitrogen Deficiency,Nitrogen Deficiency,Carica,papaya  
Papaya Brown Spot,Corynespora cassiicola,Carica,papaya  
Papaya Fruit Fly,Toxotrypana curvicauda,Carica,papaya  
Papaya Leaf Curl,PaLCV,Carica,papaya  
Papaya Mosaic Virus,PapMV,Carica,papaya  
Pesticide Burn,Pesticide Burn,Carica,papaya  
Phosphorus Deficiency,Phosphorus Deficiency,Carica,papaya  
Powdery Mildew of Papaya,Oidium caricae-papayae,Carica,papaya  
Ring Spot Virus,PRSV,Carica,papaya  
Sooty Mold,"Capnodium, Fumago, Scorias spp",Carica,papaya  
Vole,Cricetidae,Carica,papaya  
Water Deficiency,Water Deficiency,Carica,papaya  
Zinc Deficiency,Zinc Deficiency,Carica,papaya  
Aphid,Aphidoidea family,Cicer,arietinum  
Ascochyta Blight,Ascochyta rabiei,Cicer,arietinum  
Ashy Stem Blight of Bean,Macrophomina phaseolina,Cicer,arietinum  
Black Cutworm,Agrotis ipsilon,Cicer,arietinum  
Boron Deficiency,Boron Deficiency,Cicer,arietinum  
Botrytis Blight,Botrytis cinerea,Cicer,arietinum  
Chickpea Rust,Uromyces ciceris-arietini,Cicer,arietinum  
Downy Mildew,Peronosporales,Cicer,arietinum  
Fusarium Wilt,Fusarium oxysporum,Cicer,arietinum  
Gram Pod Borer,Helicoverpa armigera,Cicer,arietinum  
Iron Deficiency,Iron Deficiency,Cicer,arietinum  
Leaf Miner Flies,Agromyzidae spp.,Cicer,arietinum  
Lentil Rust,Uromyces viciae-fabae,Cicer,arietinum  
Lesion Nematode,Pratylenchus spp.,Cicer,arietinum  
Magnesium Deficiency,Magnesium Deficiency,Cicer,arietinum  
Manganese Deficiency,Manganese Deficiency,Cicer,arietinum  
Pea Pod Borer,Etiella zinckenella,Cicer,arietinum  
Pea Rust,Uromyces pisi-sativi,Cicer,arietinum  
Pesticide Burn,Pesticide Burn,Cicer,arietinum  
Phosphorus Deficiency,Phosphorus Deficiency,Cicer,arietinum  
Powdery Mildew,Erysiphaceae,Cicer,arietinum  
Root-Knot Nematode,Meloidogyne spp.,Cicer,arietinum  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Cicer,arietinum  
Sclerotium Rot,Athelia rolfsii,Cicer,arietinum  
Semilooper,Autographa nigrisigna,Cicer,arietinum  
Verticillium Wilt,Verticillium spp.,Cicer,arietinum  
Water Deficiency,Water Deficiency,Cicer,arietinum  
Zinc Deficiency,Zinc Deficiency,Cicer,arietinum  
Abiotic Sunburn,Abiotic Sunburn,Citrus,  
Algal Leaf Spot,Cephaleuros virescens,Citrus,  
Alternaria Brown Spot,Alternaria alternata,Citrus,  
Anthracnose of Citrus,Colletotrichum gloeosporioides,Citrus,  
Anthracnose of Lime,Glomerella acutata,Citrus,  
Aphid,Aphidoidea family,Citrus,  
Bacterial Spot of Citrus,Xanthomonas alfalfae,Citrus,  
Banana Scale Insect,Aspidiotus destructor,Citrus,  
Black Citrus Aphid,Toxoptera aurantii,Citrus,  
Black Parlatoria Scale,Parlatoria ziziphi,Citrus,  
Black Scale,Saissetia oleae,Citrus,  
Black Shank,Phytophthora nicotianae,Citrus,  
Blast of Citrus,Pseudomonas syringae pv. syringae,Citrus,  
Boron Deficiency,Boron Deficiency,Citrus,  
Botrytis Blight,Botrytis cinerea,Citrus,  
Calcium Deficiency,Calcium Deficiency,Citrus,  
Castor Semilooper,Ophiusa melicerta,Citrus,  
Citrus Black Spot,Phyllosticta citricarpa,Citrus,  
Citrus Bud Mite,Aceria sheldoni,Citrus,  
Citrus Canker,Xanthomonas axonopodis pv. citri,Citrus,  
Citrus Chlorotic Dwarf Virus,CCDV,Citrus,  
Citrus Exocortis Viroid,CEVd,Citrus,  
Citrus Flatid Plant Hopper,Metcalfa pruinosa,Citrus,  
Citrus Greening Disease,Candidatus Liberibacter,Citrus,  
Citrus Leaf Miner,Phyllocnistis citrella,Citrus,  
Citrus Leprosis,Citrus leprosis virus sensu lato,Citrus,  
Citrus Nematode,Tylenchulus semipenetrans,Citrus,  
Citrus Psorosis Virus,CPsV,Citrus,  
Citrus Red Mite,Panonychus citri,Citrus,  
Citrus Scab,Elsinoe fawcettii,Citrus,  
Citrus Stubborn Disease,Spiroplasma citri,Citrus,  
Citrus Thrips,Scirtothrips citri,Citrus,  
Citrus Tristeza Virus,CTV,Citrus,  
Citrus Variegated Chlorosis,Xylella fastidiosa subsp. pauca,Citrus,  
Citrus Whitefly,Dialeurodes citri,Citrus,  
Citrus Wolly Whitefly,Aleurothrixus floccosus,Citrus,  
Common Red Spider Mite,Tetranychus urticae,Citrus,  
Cottony Cushion Scale,Icerya purchasi,Citrus,  
Dead Arm,Eutypa lata,Citrus,  
Greasy Spot of Citrus,Mycosphaerella citri,Citrus,  
Green Citrus Aphid,Aphis spiraecola,Citrus,  
Iron Deficiency,Iron Deficiency,Citrus,  
Leaf Spot of Citrus,Pseudocercospora angolensis,Citrus,  
Magnesium Deficiency,Magnesium Deficiency,Citrus,  
Mal Secco,Phoma tracheiphila,Citrus,  
Manganese Deficiency,Manganese Deficiency,Citrus,  
Mealybug,Pseudococcidae,Citrus,  
Mediterranean Fruit Fly,Ceratitis capitata,Citrus,  
Melanose,Diaporthe citri,Citrus,  
Melon Fruit Fly,Zeugodacus cucurbitae,Citrus,  
Nitrogen Deficiency,Nitrogen Deficiency,Citrus,  
Oleander Scale,Aspidiotus nerii,Citrus,  
Pesticide Burn,Pesticide Burn,Citrus,  
Phosphorus Deficiency,Phosphorus Deficiency,Citrus,  
Phytophthora Gummosis,Phytophthora,Citrus,  
Phytophthora Root Rot,Phytophthora cactorum,Citrus,  
Potassium Deficiency,Potassium Deficiency,Citrus,  
Powdery Mildew,Erysiphaceae,Citrus,  
Septoria Spot,Septoria citri,Citrus,  
Sooty Mold,"Capnodium, Fumago, Scorias spp",Citrus,  
Water Deficiency,Water Deficiency,Citrus,  
Zinc Deficiency,Zinc Deficiency,Citrus,  
Abiotic Sunburn,Abiotic Sunburn,Cucumis,melo  
African Mole Cricket,Gryllotalpa africana,Cucumis,melo  
Angular Leaf Spot Disease,Pseudomonas syringae,Cucumis,sativus  
Anthracnose of Cucurbits,Glomerella lagenarium,Cucumis,sativus  
Anthracnose of Cucurbits,Glomerella lagenarium,Cucumis,melo  
Aphid,Aphidoidea family,Cucumis,sativus  
Aphid,Aphidoidea family,Cucumis,melo  
Bacterial Fruit Blotch,Acidovorax citrulli,Cucumis,sativus  
Bacterial Fruit Blotch,Acidovorax citrulli,Cucumis,melo  
Boron Deficiency,Boron Deficiency,Cucumis,sativus  
Boron Deficiency,Boron Deficiency,Cucumis,melo  
Botrytis Blight,Botrytis cinerea,Cucumis,sativus  
Calcium Deficiency in Cucurbits,Calcium Deficiency,Cucumis,sativus  
Calcium Deficiency in Cucurbits,Calcium Deficiency,Cucumis,melo  
Common Red Spider Mite,Tetranychus urticae,Cucumis,sativus  
Cucumber Beetle,Diabrotica spp.,Cucumis,sativus  
Cucumber Green Mottle Virus,CGMMV,Cucumis,sativus  
Cucumber Mosaic Virus,CMV,Cucumis,sativus  
Cucumber Scab,Cladosporium cucumerinum,Cucumis,sativus  
Downy Mildew,Peronosporales,Cucumis,sativus  
Downy Mildew on Cucurbits,Pseudoperonospora cubensis,Cucumis,sativus  
Downy Mildew on Cucurbits,Pseudoperonospora cubensis,Cucumis,melo  
Flea Beetle,Psylliodes,Cucumis,sativus  
Fusarium Wilt,Fusarium oxysporum,Cucumis,sativus  
Green Leafhopper,Empoasca decipiens,Cucumis,sativus  
Greenhouse Whitefly,Trialeurodes vaporariorum,Cucumis,sativus  
Gummy Stem Blight of Cucurbits,Stagonosporopsis cucurbitacearum,Cucumis,sativus  
Gummy Stem Blight of Cucurbits,Stagonosporopsis cucurbitacearum,Cucumis,melo  
Iron Deficiency,Iron Deficiency,Cucumis,sativus  
Leaf Blight of Cucurbits,Alternaria cucumerina,Cucumis,sativus  
Leaf Blight of Cucurbits,Alternaria cucumerina,Cucumis,melo  
Leaf Miner Flies,Agromyzidae spp.,Cucumis,sativus  
Magnesium Deficiency in Cucurbits,Magnesium Deficiency,Cucumis,sativus  
Magnesium Deficiency in Cucurbits,Magnesium Deficiency,Cucumis,melo  
Manganese Deficiency in Cucurbits,Manganese Deficiency,Cucumis,sativus  
Manganese Deficiency in Cucurbits,Manganese Deficiency,Cucumis,melo  
Melon Fruit Fly,Zeugodacus cucurbitae,Cucumis,sativus  
Melon Fruit Fly,Zeugodacus cucurbitae,Cucumis,melo  
Nematode,Nematoda,Cucumis,sativus  
Nitrogen Deficiency in Cucurbits,Nitrogen Deficiency,Cucumis,sativus  
Nitrogen Deficiency in Cucurbits,Nitrogen Deficiency,Cucumis,melo  
Pesticide Burn,Pesticide Burn,Cucumis,sativus  
Pesticide Burn,Pesticide Burn,Cucumis,melo  
Potassium Deficiency in Cucurbits,Potassium Deficiency,Cucumis,sativus  
Potassium Deficiency in Cucurbits,Potassium Deficiency,Cucumis,melo  
Powdery Mildew,Erysiphaceae,Cucumis,sativus  
Ring Spot Virus,PRSV,Cucumis,sativus  
Ring Spot Virus,PRSV,Cucumis,melo  
Root-Knot Nematode,Meloidogyne spp.,Cucumis,sativus  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Cucumis,sativus  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Cucumis,melo  
Sclerotium Rot,Athelia rolfsii,Cucumis,sativus  
Sclerotium Rot,Athelia rolfsii,Cucumis,melo  
Silverleaf Whitefly,Bemisia tabaci,Cucumis,sativus  
Silverleaf Whitefly,Bemisia tabaci,Cucumis,melo  
Slug,Class Gastropoda,Cucumis,sativus  
Thrips,Order Thysanoptera,Cucumis,sativus  
Variegated Grasshopper,Zonocerus variegatus,Cucumis,melo  
Verticillium Wilt,Verticillium spp.,Cucumis,sativus  
Verticillium Wilt,Verticillium spp.,Cucumis,melo  
Vole,Cricetidae,Cucumis,sativus  
Water Deficiency,Water Deficiency,Cucumis,sativus  
Water Deficiency,Water Deficiency,Cucumis,melo  
Watermelon mosaic virus,Watermelon mosaic virus,Cucumis,sativus  
Watermelon mosaic virus,Watermelon mosaic virus,Cucumis,melo  
Zinc Deficiency,Zinc Deficiency,Cucumis,sativus  
Zinc Deficiency,Zinc Deficiency,Cucumis,melo  
Angular Leaf Spot Disease,Pseudomonas syringae,Cucurbita,spp.  
Angular Leaf Spot Disease,Pseudomonas syringae,Cucurbita,pepo  
Anthracnose of Cucurbits,Glomerella lagenarium,Cucurbita,spp.  
Anthracnose of Cucurbits,Glomerella lagenarium,Cucurbita,pepo  
Aphid,Aphidoidea family,Cucurbita,spp.  
Aphid,Aphidoidea family,Cucurbita,pepo  
Bacterial Fruit Blotch,Acidovorax citrulli,Cucurbita,spp.  
Bacterial Fruit Blotch,Acidovorax citrulli,Cucurbita,pepo  
Boron Deficiency,Boron Deficiency,Cucurbita,spp.  
Boron Deficiency,Boron Deficiency,Cucurbita,pepo  
Botrytis Blight,Botrytis cinerea,Cucurbita,spp.  
Botrytis Blight,Botrytis cinerea,Cucurbita,pepo  
Calcium Deficiency in Cucurbits,Calcium Deficiency,Cucurbita,spp.  
Calcium Deficiency in Cucurbits,Calcium Deficiency,Cucurbita,pepo  
Common Red Spider Mite,Tetranychus urticae,Cucurbita,spp.  
Common Red Spider Mite,Tetranychus urticae,Cucurbita,pepo  
Cucumber Beetle,Diabrotica spp.,Cucurbita,spp.  
Cucumber Beetle,Diabrotica spp.,Cucurbita,pepo  
Cucumber Green Mottle Virus,CGMMV,Cucurbita,spp.  
Cucumber Green Mottle Virus,CGMMV,Cucurbita,pepo  
Cucumber Mosaic Virus,CMV,Cucurbita,spp.  
Cucumber Mosaic Virus,CMV,Cucurbita,pepo  
Downy Mildew,Peronosporales,Cucurbita,spp.  
Downy Mildew,Peronosporales,Cucurbita,pepo  
Downy Mildew on Cucurbits,Pseudoperonospora cubensis,Cucurbita,spp.  
Downy Mildew on Cucurbits,Pseudoperonospora cubensis,Cucurbita,pepo  
Flea Beetle,Psylliodes,Cucurbita,spp.  
Flea Beetle,Psylliodes,Cucurbita,pepo  
Fusarium Wilt,Fusarium oxysporum,Cucurbita,spp.  
Fusarium Wilt,Fusarium oxysporum,Cucurbita,pepo  
Greenhouse Whitefly,Trialeurodes vaporariorum,Cucurbita,spp.  
Greenhouse Whitefly,Trialeurodes vaporariorum,Cucurbita,pepo  
Gummy Stem Blight of Cucurbits,Stagonosporopsis cucurbitacearum,Cucurbita,spp.  
Gummy Stem Blight of Cucurbits,Stagonosporopsis cucurbitacearum,Cucurbita,pepo  
Iron Deficiency,Iron Deficiency,Cucurbita,spp.  
Iron Deficiency,Iron Deficiency,Cucurbita,pepo  
Leaf Blight of Cucurbits,Alternaria cucumerina,Cucurbita,spp.  
Leaf Blight of Cucurbits,Alternaria cucumerina,Cucurbita,pepo  
Leaf Miner Flies,Agromyzidae spp.,Cucurbita,spp.  
Leaf Miner Flies,Agromyzidae spp.,Cucurbita,pepo  
Magnesium Deficiency in Cucurbits,Magnesium Deficiency,Cucurbita,spp.  
Magnesium Deficiency in Cucurbits,Magnesium Deficiency,Cucurbita,pepo  
Manganese Deficiency in Cucurbits,Manganese Deficiency,Cucurbita,spp.  
Manganese Deficiency in Cucurbits,Manganese Deficiency,Cucurbita,pepo  
Melon Fruit Fly,Zeugodacus cucurbitae,Cucurbita,spp.  
