"crop_genus","crop_specie","crop_common_name","crop_group","crop_subgroup","max_rooting_depth","depletion_fraction","is_avg_depth","initial_kc","mid_kc","end_kc","max_height","is_avg_kc","is_avg_nutrient","nutrient_credits","nutrient_notes","refuse","energy","protein","lipid","vitc","vita_rae","folate","ca","fe","zn","k","cu","na","ph","thiamin","riboflavin","niacin","vitb6","mg","mn","vitb12","percentrefuse","fl","se","vite","pantothenic","vitk"
"Camellia","sinensis     ","Tea","Beverage and spice crops","Leafy or stem vegetables",1.2,0.4,FALSE,0.95,1,1,"1.5",FALSE,FALSE,"","","","6.23125","0","0","0","0","31.15625","0","0.124625","0.124625","230.55625","0.0623125","18.69375","6.23125","0","0.0872375","0","0","18.69375","1.36464375","0","","","","","",""
"Coffea","spp.     ","Coffee","Beverage and spice crops","Leafy or stem vegetables",1.2,0.4,FALSE,0.9,0.95,0.95,"2.5",FALSE,FALSE,"","","","16.565","1.9878","0.3313","0","0","33.13","33.13","0.16565","0.3313","811.685","0.03313","33.13","49.695","0.23191","1.25894","3.163915","0.016565","49.695","0.380995","0","","","","","",""
"Humulus","lupulus     ","Hops","Beverage and spice crops","Leafy or stem vegetables",1.1,0.5,FALSE,0.3,1.05,0.85,"5",FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mentha","spp.     ","Mint (all varieties)","Beverage and spice crops","Temporary spice crops",0.6,0.4,FALSE,0.6,1.15,1.1,"0.7",FALSE,FALSE,"","","","70","3.75","0.94","31.8","212","114","243","5.08","1.11","569","0.329","31","73","0.082","0.266","1.706","0.129","80","1.176","0","39","","","","",""
"Theobroma","cacao     ","Cocoa (cacao)","Beverage and spice crops","Leafy or stem vegetables",0.85,0.3,FALSE,1,1.05,1.05,"3",FALSE,FALSE,"","","","228","19.6","13.7","0","0","32","128","13.86","6.81","1524","3.788","21","734","0.078","0.241","2.185","0.118","499","3.837","0","0","","","","",""
"Ave","spp.     ","Oats","Cereals","Cereals",1.25,0.55,FALSE,0.3,1.15,0.25,"1",FALSE,FALSE,"","","","389","16.89","6.9","0","0","56","54","4.72","3.97","429","0.626","2","523","0.763","0.139","0.961","0.119","177","4.916","0","0","","","","",""
"Echinochloa","esculenta     ","Millet (Japanese)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Eleusine","coracana     ","Millet (finger)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Hordeum","vulgare     ","Barley","Cereals","Cereals",1.25,0.55,FALSE,0.3,1.15,0.25,"1",FALSE,FALSE,"","","","354","12.48","2.3","0","1","19","33","3.6","2.77","452","0.498","12","264","0.646","0.285","4.604","0.318","133","1.943","0","0","","","","",""
"Oryza","glaberrima     ","Rice (African)","Cereals","Cereals",0.75,0.204,FALSE,1.05,1.2,0.75,"1",FALSE,FALSE,"","","","358","6.5","0.52","0","0","","3","4.23","1.1","76","0.21","1","95","0.565","0.048","4.113","0.171","23","1.037","0","0","","","","",""
"Oryza","sativa     ","Rice","Cereals","Cereals",0.75,0.204,FALSE,1.05,1.2,0.75,"1",FALSE,FALSE,"","","","358","6.5","0.52","0","0","","3","4.23","1.1","76","0.21","1","95","0.565","0.048","4.113","0.171","23","1.037","0","0","","","","",""
"Panicum","miliaceum     ","Millet (proso)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Pennisetum","americanum     ","Millet (bajra, pearl)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Secale","cereale     ","Rye","Cereals","Cereals",0.8,0.6,FALSE,0.95,1.05,1,"0.3",FALSE,FALSE,"","","","338","10.34","1.63","0","1","38","24","2.63","2.65","510","0.367","2","332","0.316","0.251","4.27","0.294","110","2.577","0","0","","","","",""
"Setaria","italica     ","Millet (foxtail)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Sorghum","bicolor     ","Broom millet","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Sorghum","bicolor     ","Broom sorghum","Cereals","Cereals",1.5,0.55,FALSE,0.3,1.1,0.55,"1.5",FALSE,FALSE,"","","","329","10.62","3.46","0","0","20","13","3.36","1.67","363","0.284","2","289","0.332","0.096","3.688","0.443","165","1.605","0","0","","","","",""
"Sorghum","bicolor     ","Millet (broom)","Cereals","Cereals",1.5,0.55,FALSE,0.3,1,0.3,"1.5",FALSE,FALSE,"","","","378","11.02","4.22","0","0","85","8","3.01","1.68","195","0.75","5","285","0.421","0.29","4.72","0.384","114","1.632","0","0","","","","",""
"Sorghum","bicolor     ","Sorghum","Cereals","Cereals",1.5,0.55,FALSE,0.3,1.1,0.55,"1.5",FALSE,FALSE,"","","","329","10.62","3.46","0","0","20","13","3.36","1.67","363","0.284","2","289","0.332","0.096","3.688","0.443","165","1.605","0","0","","","","",""
"Triticum","aestivum     ","Wheat","Cereals","Cereals",1.25,0.55,FALSE,0.3,1.15,0.3,"1",FALSE,FALSE,"","","","329","15.4","1.92","0","0","43","25","3.6","2.78","340","0.41","2","332","0.504","0.11","5.71","0.336","124","4.055","0","0","","","","",""
"Ananas","comosus     ","Pineapple","Fruit and nuts","Tropical and subtropical fruits",0.45,0.5,FALSE,0.5,0.3,0.3,"0.8",FALSE,FALSE,"","","","50","0.54","0.12","47.8","3","18","13","0.29","0.12","109","0.11","1","8","0.079","0.032","0.5","0.112","12","0.927","0","49","","","","",""
"Citrus","paradisi     ","Grapefruit","Fruit and nuts","Citrus fruits",1.5,0.35,FALSE,0.3,0.85,0.45,"2",FALSE,FALSE,"","","","32","0.63","0.1","34.4","46","10","12","0.09","0.07","139","0.047","0","8","0.036","0.02","0.25","0.042","8","0.012","0","50","","","","",""
"Fragaria","spp.     ","Strawberry","Fruit and nuts","Berries",0.25,0.2,FALSE,0.4,0.85,0.75,"0.2",FALSE,FALSE,"","","","32","0.67","0.3","58.8","1","24","16","0.41","0.14","153","0.048","1","24","0.024","0.022","0.386","0.047","13","0.386","0","6","","","","",""
"Juglans","spp.     ","Walnut","Fruit and nuts","Nuts",2.05,0.5,FALSE,0.5,1.1,0.6518,"4.5",FALSE,FALSE,"","","","619","24.06","59.33","1.7","2","31","61","3.12","3.37","523","1.36","2","513","0.057","0.13","0.47","0.583","201","3.896","0","76","","","","",""
"Malus","sylvestris     ","Apple","Fruit and nuts","Pome fruits and stone fruits",0.45,0.5,FALSE,0.5,0.3,0.3,"0.8",FALSE,FALSE,"","","","52","0.26","0.17","4.6","3","3","6","0.12","0.04","107","0.027","1","11","0.017","0.026","0.091","0.041","5","0.035","0","10","","","","",""
"Musa","paradisiaca     ","Banana","Fruit and nuts","Tropical and subtropical fruits",0.7,0.35,FALSE,0.5,1.1,1,"3",FALSE,FALSE,"","","","89","1.09","0.33","8.7","3","20","5","0.26","0.15","358","0.078","1","22","0.031","0.073","0.665","0.367","27","0.27","0","36","","","","",""
"Musa","sapientum     ","Plantain","Fruit and nuts","Tropical and subtropical fruits",0.95,0.45,FALSE,0.6,1.05,0.9,"0.8",FALSE,FALSE,"","","","122","1.3","0.37","18.4","56","22","3","0.6","0.14","499","0.081","4","34","0.052","0.054","0.686","0.299","37","","0","35","","","","",""
"Persea","americana     ","Avocado","Fruit and nuts","Tropical and subtropical fruits",0.75,0.7,FALSE,0.6,0.85,0.75,"3",FALSE,FALSE,"","","","160","2","14.66","10","7","81","12","0.55","0.64","485","0.19","7","52","0.067","0.13","1.738","0.257","29","0.142","0","26","","","","",""
"Phoenix","dactylifera     ","Dates","Fruit and nuts","Tropical and subtropical fruits",2,0.5,FALSE,0.9,0.95,0.95,"8",FALSE,FALSE,"","","","282","2.45","0.39","0.4","0","19","39","1.02","0.29","656","0.206","2","62","0.052","0.066","1.274","0.165","43","0.262","0","10","","","","",""
"Pistacia","vera     ","Pistachio nut","Fruit and nuts","Nuts",1.25,0.4,FALSE,0.4,1.1,0.45,"4",FALSE,FALSE,"","","","562","20.27","45.39","5.6","21","51","105","3.92","2.2","1025","1.3","1","490","0.87","0.16","1.3","1.7","121","1.2","0","47","","","","",""
