disease_common_name,disease_scientific_name,disease_group
Bacterial Soft Rot of Pepper,Pectobacterium carotovorum subsp. carotovorum,Bacteria
Bacterial Black Spot of Mango,Xanthomonas axonopodis pv. mangiferaeindicae,Bacteria
Bacterial Blight of Rice,Xanthomonas oryzae pv. oryzae,Bacteria
Angular Leaf Spot Disease,Pseudomonas syringae,Bacteria
Bacterial Leaf Streak,Xanthomonas oryzae pv. oryzicola,Bacteria
Bacterial Spot,Xanthomonas spp.,Bacteria
Bacterial Canker of Mango,Xanthomonas citri pv. mangiferaeindicae,Bacteria
Halo Blight,Pseudomonas savastanoi pv. phaseolicola,Bacteria
Fire Blight,Erwinia amylovora,Bacteria
Black Rot,Xanthomonas campestris pv. campestris,Bacteria
Angular Leaf Spot of Strawberry,Xanthomonas fragariae,Bacteria
Bacterial Canker,Pseudomonas syringae pv. syringae,Bacteria
Potato Scab,Streptomyces scabies,Bacteria
Blast of Citrus,Pseudomonas syringae pv. syringae,Bacteria
Chlorotic Leaf Roll of Apricot,Phytoplasma prunorum,Bacteria
Sugarcane Ratoon Stunting Disease,Leifsonia xyli,Bacteria
Holcus Spot,Pseudomonas syringae pv. syringae,Bacteria
Blackleg,Pectobacterium atrosepticum,Bacteria
Bacterial Wilt,Ralstonia solanacearum,Bacteria
Bacterial Leaf Blight of Sugarcane,Acidovorax avenae,Bacteria
Citrus Stubborn Disease,Spiroplasma citri,Bacteria
Bacterial Blight of Cotton,Xanthomonas citri subsp. malvacearum,Bacteria
Citrus Canker,Xanthomonas axonopodis pv. citri,Bacteria
Banana Xanthomonas Wilt,Xanthomonas musacearum,Bacteria
Bacterial Spot on Stone Fruits,Xanthomonas arboricola,Bacteria
Bacterial Spot of Citrus,Xanthomonas alfalfae,Bacteria
Bacterial Soft Rot of Banana,Pectobacterium carotovorum,Bacteria
Phony Peach Disease,Xylella fastidiosa,Bacteria
Bacterial Fruit Blotch,Acidovorax citrulli,Bacteria
