fertilizer_type,moisture_percentage,n_percentage,nh4_n_ppm,p_percentage,k_percentage,mineralization_rate
compost (manure),40,1.5,0,0.5,0.5,0.1
compost (HIP),0,2.2,0,0.9,0.8,0.1
Beef-feedlot- solid (dry),72,0.42,44,0.13,0.67,0.3
Beef-feedlot- solid (moist),77,0.68,368,0.15,0.3,0.3
Beef- liquid,86,0.28,77,0.09,0.19,0.3
Chicken-broiler (general),50,2.26,3423,0.91,1.14,0.55
Chicken-broiler (manure aged outdoors),70,1.91,3095,0.8,1.14,0.55
Chicken-broiler (manure fresh from barn),25,2.97,4078,1.05,1.04,0.55
Chicken-broiler breeder,46,1.25,3096,0.84,1.71,0.55
Chicken-layer,50,2.26,3889,1.13,1.51,0.55
Dairy- solid (dry),72,0.76,317,0.2,0.43,0.21
Dairy- solid (moist),77,0.39,797,0.1,0.3,0.21
Dairy- liquid (thick slurry),86,0.4,1760,0.08,0.3,0.21
Dairy- liquid (medium slurry),93.5,0.28,1450,0.06,0.25,0.21
Dairy- liquid (quite watery),96.5,0.2,1110,0.04,0.16,0.21
Dairy- liquid (very watery),98.5,0.13,730,0.02,0.12,0.21
Goat (dairy),65,1.04,2818,0.28,1.03,0.21
Hog- liquid,82,0.33,2211,0.1,0.15,0.4
Hog- solid,82,0.86,525,0.42,0.5,0.4
Horse,83,0.32,268,0.09,0.25,0.2
Mink,54,3.28,14151,1.82,0.79,0.2
Sheep,68,0.87,2784,0.34,0.76,0.2
Turkey (manure aged >7 weeks out of barn),70,0.87,1281,0.44,0.59,0.55
Turkey (manure fresh from barn <7 weeks),33,1.79,2518,0.79,1.31,0.55
Biosolids- anaerobically digested & dewatered,70,1.47,2940,0.9,0.03,0.18
